Name;Prompt;Negative_prompt

PHOTOGRAPHY;photography, capturing moments, storytelling, creative composition;bad anatomy, comics, cropped, cross-eyed, worst quality, low quality, painting, 3D render, drawing, crayon, sketch, graphite, impressionist, cartoon, anime, noisy, blurry, soft, deformed, ugly, lowres, low details, JPEG artifacts, airbrushed, semi-realistic, CGI, render, Blender, digital art, manga, amateur, mutilated, distorted

PAINTING;painting art style;signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts
VECTOR;Vector art style, crisp lines, scalable graphics, professional-grade execution, clean, sharp;painting, signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts

3D RENDER;professional 3d render, 3D render artistic style, intricate details, creative composition, professional rendering, photorealistic textures, dynamic lighting, captivating visuals, octane render, highly detailed, volumetric, dramatic lighting;low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts

SKETCH;sketch art style, pencil lines, rough texture, hand-drawn look, expressive strokes, raw concept art;photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts, digital art, render, CGI, airbrushed

WATERCOLOR;watercolor art style, soft edges, translucent layers, delicate brush strokes, artistic impression, paper texture;photo, photorealistic, realism, ugly, harsh lines, off-center, 3D render, digital art, CGI, vector, worst quality, low quality, lowres, JPEG artifacts

ISOMETRIC;isometric view, clean geometric shapes, stylized design, detailed miniatures, top-down perspective, structured layout;photo, realism, painting, sketch, distorted perspective, warped, ugly, worst quality, low quality, lowres, JPEG artifacts, soft, blurry

LOW POLY;low poly style, minimalistic geometry, clean polygons, stylized 3D, abstract forms, faceted surfaces, vibrant colors;photorealistic, realism, high-poly, noise, blurry, over-detailed, dirty texture, ugly, worst quality, low quality, lowres, JPEG artifacts

PIXEL ART;pixel art style, pixel-perfect, retro aesthetic, 8-bit, 16-bit, nostalgic game design, grid-based visuals, low resolution by design;photo, photorealistic, realism, blurry, smudged, vector, 3D render, digital painting, soft edges, worst quality, low quality, JPEG artifacts

CHARCOAL;charcoal sketch style, dramatic contrast, deep blacks, textured strokes, expressive marks, traditional media look;photo, photorealistic, digital painting, vector, watercolor, 3D render, CGI, clean lines, soft, airbrushed, worst quality, low quality, JPEG artifacts
